,abb,name,lat,long,coal,oil,gas,nuclear,hydro,bio,wind,solar,geo,other
922,CA,Energy Center,34.063056,-117.163889,0,0,2914.52,0,0,0,0,0,0,0
923,CA,Energy Nuevo Storage Farm,36.702036,-119.883003,,,,,,,,,,
924,CA,Enerparc CA1 LLC,36.831667,-121.404167,0,0,0,0,0,0,0,3664,0,0
925,CA,"Enerparc CA2, LLC",39.69898,-122.175583,0,0,0,0,0,0,0,3448,0,0
926,CA,Equilon Los Angeles Refining,33.791667,-118.234722,0,0,110124.864,0,0,0,0,0,0,273695.446
927,CA,Equinix Caspian Dr. Fuel Cell,37.415092,-122.05211,0,0,0,0,0,0,0,0,0,0
928,CA,Equinix Douglas St. Fuel Cell,33.9212,-118.38453,0,0,0,0,0,0,0,0,0,0
929,CA,Equinix Great Oaks Blvd. Fuel Cell,37.24097,-121.78259,0,0,0,0,0,0,0,0,0,0
930,CA,Equinix Lundy Ave. Fuel Cell,37.38846,-121.88896,0,0,0,0,0,0,0,0,0,0
931,CA,Equinix Maple Ave. Fuel Cell,33.92542,-118.39463,0,0,0,0,0,0,0,0,0,0
932,CA,Equinix San Jose,37.241713,-121.781363,0,0,7872,0,0,0,0,0,0,0
933,CA,"Escondido Energy Center, LLC",33.1261,-117.1172,0,0,25261,0,0,0,0,0,0,0
934,CA,Escondido Energy Storage,33.124446,-117.114274,0,0,0,0,0,0,0,0,0,-5662
935,CA,ESI Project,37.739167,-121.432222,,,,,,,,,,
936,CA,Etiwanda,34.10345,-117.5257,0,0,0,0,56038,0,0,0,0,0
937,CA,Etiwanda Generating Station,34.09118,-117.52663,0,0,0,0,0,0,0,0,0,0
938,CA,Exchequer,37.584345,-120.26859,0,0,0,0,240272,0,0,0,0,0
939,CA,Exeter Solar,36.2675,-119.128581,0,0,0,0,0,0,0,6736,0,0
940,CA,Expressway Solar A,34.582222,-117.341667,0,0,0,0,0,0,0,4934,0,0
941,CA,Expressway Solar B,34.583333,-117.340278,0,0,0,0,0,0,0,4358,0,0
942,CA,Expressway Solar C2,34.584444,-117.341389,0,0,0,0,0,0,0,3713,0,0
943,CA,ExxonMobil Santa Ynez Facility,34.464819,-120.044365,,,,,,,,,,
944,CA,FAA NorCal TRACON,38.559533,-121.257556,0,0,0,0,0,0,0,1630,0,0
